Date,JPM
2008-04-01,32.24528121948242
2008-04-02,31.982444763183594
2008-04-03,32.01010513305664
2008-04-04,31.519033432006836
2008-04-07,31.498275756835938
2008-04-08,31.027938842773438
2008-04-09,30.64061737060547
2008-04-10,30.336292266845703
2008-04-11,29.416378021240234
2008-04-14,28.7039737701416
2008-04-15,29.132793426513672
2008-04-16,31.097110748291016
2008-04-17,31.207794189453125
2008-04-18,31.65043830871582
2008-04-21,31.28385353088379
2008-04-22,31.574369430541992
2008-04-23,31.22853660583496
2008-04-24,32.487342834472656
2008-04-25,33.05452346801758
2008-04-28,32.743255615234375
2008-04-29,32.56342697143555
2008-04-30,32.957679748535156
2008-05-01,34.0643424987793
2008-05-02,33.656272888183594
2008-05-05,33.19976806640625
2008-05-06,33.33810806274414
2008-05-07,32.210693359375
2008-05-08,31.851028442382812
2008-05-09,32.210693359375
2008-05-12,32.67411422729492
2008-05-13,31.456777572631836
2008-05-14,31.754201889038086
2008-05-15,32.521934509277344
2008-05-16,32.18301010131836
2008-05-19,31.809524536132812
2008-05-20,30.22563934326172
2008-05-21,29.340290069580078
2008-05-22,29.77603530883789
2008-05-23,29.271141052246094
2008-05-27,29.74836540222168
2008-05-28,29.644622802734375
2008-05-29,30.135704040527344
2008-05-30,29.741456985473633
2008-06-02,29.153535842895508
2008-06-03,28.973709106445312
2008-06-04,28.793882369995117
2008-06-05,29.118968963623047
2008-06-06,27.728721618652344
2008-06-09,25.94423484802246
2008-06-10,26.483734130859375
2008-06-11,25.681398391723633
2008-06-12,26.290069580078125
2008-06-13,27.375988006591797
2008-06-16,27.624982833862305
2008-06-17,27.002483367919922
2008-06-18,26.794979095458984
2008-06-19,26.732738494873047
2008-06-20,26.186325073242188
2008-06-23,25.50157356262207
2008-06-24,26.08949089050293
2008-06-25,26.22089195251465
2008-06-26,25.121156692504883
2008-06-27,24.242748260498047
2008-06-30,23.730920791625977
2008-07-01,23.793865203857422
2008-07-02,24.199520111083984
2008-07-03,24.69610595703125
2008-07-07,23.8078556060791
2008-07-08,25.0178279876709
2008-07-09,23.9757080078125
2008-07-10,24.13657569885254
2008-07-11,23.19237518310547
2008-07-14,22.164243698120117
2008-07-15,21.69563865661621
2008-07-16,25.136730194091797
2008-07-17,28.535856246948242
2008-07-18,27.990324020385742
2008-07-21,27.032123565673828
2008-07-22,28.57781982421875
2008-07-23,29.347156524658203
2008-07-24,27.37483024597168
2008-07-25,27.640602111816406
2008-07-28,26.339712142944336
2008-07-29,28.500877380371094
2008-07-30,29.074386596679688
2008-07-31,28.416961669921875
2008-08-01,28.507871627807617
2008-08-04,28.074247360229492
2008-08-05,29.298200607299805
2008-08-06,28.948511123657227
2008-08-07,27.843446731567383
2008-08-08,28.724689483642578
2008-08-11,29.298200607299805
2008-08-12,26.52154541015625
2008-08-13,25.815155029296875
2008-08-14,26.44462013244629
2008-08-15,26.62647247314453
2008-08-18,25.696258544921875
2008-08-19,24.884946823120117
2008-08-20,25.87810516357422
2008-08-21,25.36054229736328
2008-08-22,26.346704483032227
2008-08-25,25.26961898803711
2008-08-26,25.605335235595703
2008-08-27,25.97600746154785
2008-08-28,27.192995071411133
2008-08-29,26.92022132873535
2008-09-02,27.269926071166992
2008-09-03,27.77349090576172
2008-09-04,26.514554977416992
2008-09-05,27.69655990600586
2008-09-08,29.060407638549805
2008-09-09,27.605642318725586
2008-09-10,27.556678771972656
2008-09-11,29.130353927612305
2008-09-12,28.79462432861328
2008-09-15,25.87810516357422
2008-09-16,28.493896484375
2008-09-17,25.0178279876709
2008-09-18,28.18614387512207
2008-09-19,32.90714645385742
2008-09-22,28.535856246948242
2008-09-23,28.367998123168945
2008-09-24,28.326034545898438
2008-09-25,30.396284103393555
2008-09-26,33.73945999145508
2008-09-29,28.67573356628418
2008-09-30,32.66236877441406
2008-10-01,34.71162414550781
2008-10-02,35.1345100402832
2008-10-03,32.35053634643555
2008-10-06,31.01140022277832
2008-10-07,27.71291732788086
2008-10-08,27.69880485534668
2008-10-09,25.852230072021484
2008-10-10,29.348047256469727
2008-10-13,29.594745635986328
2008-10-14,28.692607879638672
2008-10-15,27.1279296875
2008-10-16,28.537551879882812
2008-10-17,27.719966888427734
2008-10-20,28.6573543548584
2008-10-21,28.008939743041992
2008-10-22,26.19758415222168
2008-10-23,26.67684555053711
2008-10-24,24.971227645874023
2008-10-27,23.96335792541504
2008-10-28,26.500654220581055
2008-10-29,25.16856575012207
2008-10-30,26.514741897583008
2008-10-31,29.07318687438965
2008-11-03,28.70668601989746
2008-11-04,29.72161102294922
2008-11-05,27.64244270324707
2008-11-06,26.96583366394043
2008-11-07,26.606374740600586
2008-11-10,25.661930084228516
2008-11-11,25.619646072387695
2008-11-12,24.36509132385254
2008-11-13,26.211681365966797
2008-11-14,24.29461097717285
2008-11-17,23.096452713012695
2008-11-18,22.652421951293945
2008-11-19,20.06578826904297
2008-11-20,16.478328704833984
2008-11-21,16.01315689086914
2008-11-24,19.43851661682129
2008-11-25,20.982032775878906
2008-11-26,21.581117630004883
2008-11-28,22.314111709594727
2008-12-01,18.409496307373047
2008-12-02,20.108074188232422
2008-12-03,21.320337295532227
2008-12-04,21.90532875061035
2008-12-05,23.50522804260254
2008-12-08,25.71831512451172
2008-12-09,23.935163497924805
2008-12-10,23.62504768371582
2008-12-11,21.101850509643555
2008-12-12,21.806657791137695
2008-12-15,20.178552627563477
2008-12-16,22.80042839050293
2008-12-17,22.455078125
2008-12-18,21.292144775390625
2008-12-19,21.369670867919922
2008-12-22,21.017274856567383
2008-12-23,20.516857147216797
2008-12-24,21.03841781616211
2008-12-26,21.0031795501709
2008-12-29,20.989078521728516
2008-12-30,21.855985641479492
2008-12-31,22.222488403320312
2009-01-02,22.36516571044922
2009-01-05,20.86701774597168
2009-01-06,21.31645965576172
2009-01-07,20.039478302001953
2009-01-08,19.41880989074707
2009-01-09,18.527067184448242
2009-01-12,17.77085304260254
2009-01-13,18.798154830932617
2009-01-14,18.484256744384766
2009-01-15,17.36421775817871
2009-01-16,16.279848098754883
2009-01-20,12.905450820922852
2009-01-21,16.144296646118164
2009-01-22,16.479595184326172
2009-01-23,17.321409225463867
2009-01-26,17.478361129760742
2009-01-27,17.877864837646484
2009-01-28,19.73271942138672
2009-01-29,18.141822814941406
2009-01-30,18.198902130126953
2009-02-02,17.977741241455078
2009-02-03,17.157329559326172
2009-02-04,17.150197982788086
2009-02-05,17.506900787353516
2009-02-06,19.711307525634766
2009-02-09,19.46161651611328
2009-02-10,17.5639705657959
2009-02-11,18.612667083740234
2009-02-12,18.684005737304688
2009-02-13,17.61390495300293
2009-02-17,15.445160865783691
2009-02-18,15.345291137695312
2009-02-19,14.696090698242188
2009-02-20,14.196706771850586
2009-02-23,13.918482780456543
2009-02-24,14.995718955993652
2009-02-25,15.502236366271973
2009-02-26,16.443923950195312
2009-02-27,16.301258087158203
2009-03-02,15.095597267150879
2009-03-03,14.988587379455566
2009-03-04,13.768667221069336
2009-03-05,11.842480659484863
2009-03-06,11.36449909210205
2009-03-09,11.343099594116211
2009-03-10,13.911348342895508
2009-03-11,14.553409576416016
2009-03-12,16.55093765258789
2009-03-13,16.943302154541016
2009-03-16,16.47246742248535
2009-03-17,17.9349365234375
2009-03-18,19.34033966064453
2009-03-19,17.799392700195312
2009-03-20,16.51526641845703
2009-03-23,20.588796615600586
2009-03-24,18.833829879760742
2009-03-25,20.374767303466797
2009-03-26,20.760007858276367
2009-03-27,19.54722785949707
2009-03-30,17.728050231933594
2009-03-31,18.96223258972168
2009-04-01,20.07514190673828
2009-04-02,20.125167846679688
2009-04-03,20.92560386657715
2009-04-06,20.153759002685547
2009-04-07,19.47481918334961
2009-04-08,19.60346031188965
2009-04-09,23.405515670776367
2009-04-13,24.08445167541504
2009-04-14,21.9404354095459
2009-04-15,23.269733428955078
2009-04-16,23.75571060180664
2009-04-17,23.770004272460938
2009-04-20,21.218626022338867
2009-04-21,23.2482967376709
2009-04-22,22.798046112060547
2009-04-23,23.734272003173828
2009-04-24,23.85577392578125
2009-04-27,23.426956176757812
2009-04-28,23.434106826782227
2009-04-29,24.641897201538086
2009-04-30,23.584186553955078
2009-05-01,23.219707489013672
2009-05-04,25.578128814697266
2009-05-05,24.884889602661133
2009-05-06,26.600101470947266
2009-05-07,25.185056686401367
2009-05-08,27.829341888427734
2009-05-11,25.606712341308594
2009-05-12,25.270811080932617
2009-05-13,24.334590911865234
2009-05-14,25.399457931518555
2009-05-15,24.949209213256836
2009-05-18,26.628690719604492
2009-05-19,25.592418670654297
2009-05-20,24.691932678222656
2009-05-21,24.94207000732422
2009-05-22,24.59187889099121
2009-05-26,26.114131927490234
2009-05-27,24.770544052124023
2009-05-28,26.192739486694336
2009-05-29,26.37141227722168
2009-06-01,25.80681800842285
